Model,CV R2 (Mean),CV MAE,CV RMSE,Test R2,Test MAE,Test RMSE
XGBoost,0.790648471486072,0.30243811931066594,0.4357640837046475,0.8019495684399655,0.29792244453855604,0.42797318880935714
Gradient Boosting,0.786187583086513,0.30657477732711197,0.44037795997843965,0.8001663435997821,0.2994737355704115,0.4298955835881107
Random Forest,0.7586574111627435,0.322695903794142,0.4678546020573292,0.7731689283499507,0.3120988473150331,0.45801524997130816
Neural Network (MLP),0.7327793428284853,0.34677728888222287,0.49223921476482946,0.7480257030600795,0.35150505194126436,0.4827327761764437
Support Vector Regressor (SVR),0.718219551390747,0.34889727914787266,0.5055254107832925,0.7364902197846435,0.3435224238796863,0.49365897314150864
K-Neighbors Regressor (KNN),0.62584932250642,0.4132018541041201,0.582529740657644,0.6615448589184744,0.39729105978538576,0.5594731176786193
Linear Regression,0.5623911455884774,0.47092257264434745,0.629962824186447,0.6012592989543193,0.45941899965752864,0.6072589861493275
Ridge Regression,0.5623950273448306,0.47092243734907646,0.6299602457053688,0.6012483853446405,0.459424393660689,0.6072672964900876
ElasticNet Regression,0.5606023801173837,0.4731949263273149,0.6312970741781702,0.5946937593861059,0.4638936449178369,0.6122380421270491
Decision Tree,0.5742496777346389,0.45683490161062845,0.6214222744578464,0.5926153719763232,0.45148213115846236,0.6138057958336196
Lasso Regression,0.5585545613450862,0.475324635984146,0.6327863347730228,0.5897955869769897,0.46728722061104916,0.615926415472746
AdaBoost,0.3836820995016364,0.6366062467295668,0.7474315933914765,0.47738145141467714,0.5796971395121195,0.6952181086790934
